Features,importance
Bwd Packet Length Std,0.2466260237992073
Flow Bytes/s,0.17871978576198877
Total Length of Fwd Packets,0.1023694474508433
Subflow Fwd Bytes,0.09314768253163362
Init_Win_bytes_forward,0.07631861465579869
Fwd Packet Length Std,0.06389937818054914
Bwd Packets/s,0.035002648028040755
min_seg_size_forward,0.017390338338523673
Init_Win_bytes_backward,0.01375737612726867
Fwd IAT Mean,0.012776308641861562
Fwd IAT Min,0.01108386235381743
Fwd Header Length,0.010111752347370448
Fwd IAT Max,0.009989605757854188
Flow IAT Std,0.009879408186687293
Average Packet Size,0.009218603826683902
PSH Flag Count,0.008824950024108373
Packet Length Mean,0.007956017215916376
Max Packet Length,0.007074450739701624
Flow IAT Min,0.0069464115559786386
Bwd IAT Mean,0.005386852721131183
Idle Min,0.005181836679975601
Fwd IAT Total,0.005136234356302765
Fwd IAT Std,0.004420714432607411
Flow Duration,0.0041500750892723565
Bwd Packet Length Max,0.004013511459186213
Flow IAT Max,0.0035337132303905126
Idle Mean,0.0034577534442026747
Fwd Packets/s,0.0033767542439156343
Bwd IAT Std,0.003367833257482618
Flow IAT Mean,0.0032748910052164647
Bwd IAT Min,0.0025443033537097337
Idle Max,0.0024956833807651428
Active Std,0.0024560689698030344
Bwd Header Length,0.002346657322800124
Bwd IAT Max,0.002110144204800857
Active Max,0.002005917588312588
Active Mean,0.0016846061934557973
Active Min,0.0016822106196160112
Bwd IAT Total,0.0015394487402014582
Fwd PSH Flags,0.0014638093162482207
Total Length of Bwd Packets,0.001325239727437365
Subflow Bwd Bytes,0.0013128886963928612
SYN Flag Count,0.0012867214859894102
Packet Length Std,0.0011774596744599328
Packet Length Variance,0.000996009298742627
URG Flag Count,0.0007193633565487237
Fwd Packet Length Min,0.0006861795807750826
ACK Flag Count,0.0006682985758411072
Down/Up Ratio,0.0006092330228881779
Avg Bwd Segment Size,0.0006038213838464541
Min Packet Length,0.000571014447770622
Flow Packets/s,0.000541171732133121
Fwd Packet Length Mean,0.0005367934458602009
Bwd Packet Length Mean,0.0005259864448691013
Avg Fwd Segment Size,0.000487406988140044
Subflow Bwd Packets,0.0001956497404200605
Total Backward Packets,0.0001773958326720122
FIN Flag Count,0.00016058736041763813
Idle Std,0.0001493998631267193
Fwd Packet Length Max,0.00013812510027173873
Total Fwd Packets,0.0001271617420293934
Subflow Fwd Packets,0.00011929315480566611
act_data_pkt_fwd,8.712335669894894e-05
Bwd Packet Length Min,7.57567824291602e-05
CWE Flag Count,1.4620010263812037e-07
Fwd URG Flags,8.78721009984257e-08
RST Flag Count,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Bwd URG Flags,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd PSH Flags,0.0
ECE Flag Count,0.0
