Features,importance
Bwd Packet Length Std,0.46980266537661836
act_data_pkt_fwd,0.20466064883675192
Subflow Bwd Packets,0.09661082391244213
Total Backward Packets,0.09406095702328005
Flow Bytes/s,0.009808695602276644
Fwd IAT Mean,0.009703194661241666
Fwd IAT Total,0.00929781090885755
Fwd IAT Min,0.008716802762976381
Fwd IAT Std,0.007345284418675737
Fwd IAT Max,0.0071344752024181494
Flow IAT Min,0.006133281911291864
Flow Duration,0.005506447963668618
Flow IAT Std,0.005490730819716132
Flow IAT Mean,0.005282035870940726
Fwd Packets/s,0.005172924627841769
Flow IAT Max,0.004525827798415771
Bwd IAT Min,0.003988383418565863
Bwd IAT Mean,0.002892457037037803
Fwd Packet Length Max,0.0028132320180327113
Bwd Packets/s,0.002468569042550714
Active Min,0.002435598622652823
Active Max,0.0024220497857722636
Active Mean,0.002407684124330615
Total Length of Fwd Packets,0.002372611539188313
Subflow Fwd Bytes,0.002247694408578203
Bwd IAT Std,0.002246125768172231
Max Packet Length,0.0021163506134906584
Bwd IAT Max,0.001925836874980663
Packet Length Mean,0.0018155844016167065
Bwd IAT Total,0.001778303138792842
Average Packet Size,0.0016922615444380045
Avg Fwd Segment Size,0.0015838073528295147
Idle Max,0.0013267753018458962
Idle Min,0.0013079420579854624
Fwd Packet Length Std,0.0012950897672922893
Idle Mean,0.0012220996595240451
Fwd Packet Length Mean,0.0011072028759447506
Flow Packets/s,0.001000684461751227
Bwd Header Length,0.0009136150999807569
Packet Length Std,0.0008418342353072129
Packet Length Variance,0.0008303790404513944
Init_Win_bytes_forward,0.0007759334039794913
Bwd Packet Length Max,0.0006034411676607374
Init_Win_bytes_backward,0.00045104465873658617
Bwd Packet Length Min,0.00040924698842125656
Bwd Packet Length Mean,0.0002110079645220806
Avg Bwd Segment Size,0.00020641894191935522
Idle Std,0.0001569666812084177
Total Length of Bwd Packets,0.00011032989483446822
URG Flag Count,0.00010889774712936456
Subflow Bwd Bytes,0.00010339542143629235
FIN Flag Count,0.00010244252501098807
Down/Up Ratio,0.00010124150851154768
ACK Flag Count,7.64059399155131e-05
Fwd Header Length,6.28482012683655e-05
Min Packet Length,5.9810068522681566e-05
Fwd Packet Length Min,5.0937193465309796e-05
Subflow Fwd Packets,4.2916710626493604e-05
Total Fwd Packets,4.172553013193472e-05
min_seg_size_forward,1.6545500090885862e-05
Active Std,1.442405559755193e-06
SYN Flag Count,1.0803327446912052e-06
Fwd PSH Flags,6.489429141533019e-07
PSH Flag Count,4.923828632268238e-07
RST Flag Count,0.0
CWE Flag Count,0.0
Bwd PSH Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd URG Flags,0.0
ECE Flag Count,0.0
Fwd URG Flags,0.0
