Features,importance
Flow IAT Mean,0.652904158466981
Fwd Packet Length Std,0.05732186580901574
Fwd Packet Length Mean,0.05279496744811918
Avg Fwd Segment Size,0.052440659745926245
Down/Up Ratio,0.031303217445659025
Init_Win_bytes_backward,0.030221861018940973
Fwd Packet Length Min,0.021475558316067803
Fwd IAT Min,0.021392910059643035
Init_Win_bytes_forward,0.010477756689556469
Subflow Bwd Bytes,0.007609369855130881
Bwd Packet Length Mean,0.006886286986095049
Bwd Packet Length Std,0.006625166610078761
Total Length of Bwd Packets,0.006276513643264592
min_seg_size_forward,0.006075416466848221
Avg Bwd Segment Size,0.004889091503891825
Fwd IAT Mean,0.003919736866232005
Bwd Header Length,0.0030720311757805236
Total Backward Packets,0.0027282706989010352
Flow IAT Min,0.00247408671429597
Bwd Packet Length Max,0.0023416758215718154
Subflow Bwd Packets,0.002208999238323247
Bwd Packet Length Min,0.0014732978996749991
Fwd Header Length,0.0011106722592653289
Packet Length Std,0.0009535201900829322
Average Packet Size,0.0009259301065837974
Packet Length Variance,0.0007467256955287128
Max Packet Length,0.0007348794779740436
Fwd Packets/s,0.0007288322659135164
Fwd IAT Total,0.0006332599762719156
Packet Length Mean,0.0005992325716975876
Flow Bytes/s,0.0005814293464458009
Bwd IAT Mean,0.0005628447437828628
Fwd Packet Length Max,0.0005476121189514227
URG Flag Count,0.00048469468566738553
Flow Duration,0.0004787339881085853
Total Length of Fwd Packets,0.0003984984986946825
Total Fwd Packets,0.0003754482015760746
Subflow Fwd Bytes,0.0003503438620683936
Bwd IAT Min,0.00031985443163242046
Bwd IAT Max,0.0003019150908296213
Subflow Fwd Packets,0.00027661129146183444
Bwd IAT Total,0.00027338849635517615
Flow IAT Max,0.00025342986980407783
Bwd Packets/s,0.00021495548304626324
ACK Flag Count,0.0001640709434833506
Active Mean,0.00012616016676131775
Fwd IAT Std,0.00012479528776015316
Min Packet Length,0.00011925439646527461
Fwd IAT Max,0.00011560241713700653
Flow Packets/s,0.00011387845045772525
Active Min,9.44573785210113e-05
Active Max,9.344129069078873e-05
Flow IAT Std,6.279163705509989e-05
act_data_pkt_fwd,5.652952647703508e-05
Idle Std,4.88816339509257e-05
Bwd IAT Std,3.856170062237204e-05
Idle Max,1.7746416140763673e-05
Idle Mean,1.411872992729136e-05
Idle Min,1.3469572024749395e-05
Active Std,1.2401777619452774e-05
PSH Flag Count,1.2346463718324178e-05
SYN Flag Count,3.841928213746395e-06
Fwd PSH Flags,1.246461969424096e-06
FIN Flag Count,6.926892635180782e-07
Bwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Bytes/Bulk,0.0
ECE Flag Count,0.0
CWE Flag Count,0.0
RST Flag Count,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Fwd Avg Packets/Bulk,0.0
