Features,importance
Average Packet Size,0.7441680599521135
Fwd Packet Length Max,0.1672268903323102
Fwd Packet Length Std,0.027214488421609024
Avg Fwd Segment Size,0.019093598138059886
Packet Length Mean,0.017146810081519925
Fwd Packet Length Mean,0.012800098896750234
SYN Flag Count,0.0015308123754283998
Fwd PSH Flags,0.0015079547959976802
min_seg_size_forward,0.0012606992916008397
Fwd Packets/s,0.0010359035571854633
Init_Win_bytes_forward,0.0006653511524611189
Subflow Bwd Bytes,0.0005404632867681244
Avg Bwd Segment Size,0.0005085060885943393
Bwd Packet Length Std,0.0005048650537788382
Fwd Header Length,0.0004861100081941499
Total Length of Bwd Packets,0.0004729399597799871
Bwd Packet Length Mean,0.00043164299008850937
Flow IAT Min,0.00029877438948301975
Packet Length Std,0.00029789608599173974
Init_Win_bytes_backward,0.0002660789768626373
Packet Length Variance,0.00021320728777603725
act_data_pkt_fwd,0.00020585276186314104
Bwd Packet Length Max,0.00015148319450965315
Bwd Packets/s,0.0001456162699992536
Bwd IAT Std,0.00014100832652676461
Bwd Header Length,0.00012371710529360437
Fwd IAT Min,0.00012203662501435087
Flow Duration,0.00011234712550464243
Subflow Bwd Packets,0.0001115577961749824
Total Backward Packets,0.0001001886435396767
Flow Packets/s,9.297253286607779e-05
Flow IAT Max,9.032032703878526e-05
Flow IAT Mean,8.927138603441305e-05
Fwd IAT Mean,8.648535383445286e-05
Total Fwd Packets,8.602577575195468e-05
Subflow Fwd Bytes,8.576479640369495e-05
Fwd IAT Max,8.399163357426201e-05
Max Packet Length,8.33445007305882e-05
Subflow Fwd Packets,8.13173322897872e-05
Total Length of Fwd Packets,7.288643871897625e-05
Fwd IAT Total,6.97214220991492e-05
Down/Up Ratio,4.383028601186533e-05
Fwd Packet Length Min,2.5269606804327392e-05
Flow IAT Std,1.796211694582803e-05
Bwd Packet Length Min,1.5084387475471962e-05
Bwd IAT Max,1.4455341359793628e-05
Bwd IAT Min,1.4324937808816423e-05
Bwd IAT Mean,1.3293403659994253e-05
Fwd IAT Std,1.2908045769878377e-05
Min Packet Length,9.509705298618826e-06
Bwd IAT Total,6.183780814483106e-06
Flow Bytes/s,4.92379328693296e-06
ACK Flag Count,4.808653226307697e-06
URG Flag Count,2.6591821800762754e-06
Active Min,1.452786568965485e-06
Idle Std,1.4395036416783727e-06
Idle Min,1.4234130168168743e-06
Active Std,1.334873977069584e-06
Idle Max,7.229644403190084e-07
Active Mean,6.770947386775573e-07
PSH Flag Count,6.756528521515526e-07
Bwd URG Flags,0.0
FIN Flag Count,0.0
Fwd URG Flags,0.0
Idle Mean,0.0
Bwd PSH Flags,0.0
Active Max,0.0
RST Flag Count,0.0
Bwd Avg Packets/Bulk,0.0
CWE Flag Count,0.0
ECE Flag Count,0.0
Fwd Avg Bytes/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
