Features,importance
Subflow Fwd Bytes,0.3324834996434505
Total Length of Fwd Packets,0.2592416281752801
Fwd IAT Min,0.06331821224515823
Total Backward Packets,0.020581044573164523
Flow IAT Max,0.01945763781016354
act_data_pkt_fwd,0.019259006617260013
Avg Fwd Segment Size,0.017851481633240344
Fwd Packet Length Mean,0.017285865364129557
Avg Bwd Segment Size,0.01618697557993131
Bwd IAT Std,0.013956744843092898
Bwd Packet Length Std,0.012747056010569562
Packet Length Mean,0.012452845815504715
Fwd Header Length,0.012166470163449928
Bwd Packet Length Mean,0.011681259078643737
Average Packet Size,0.01141096227088498
Subflow Bwd Packets,0.010209711908155412
Flow Duration,0.010001867950312526
Bwd Packet Length Max,0.009655716919478204
Active Min,0.008659833933382516
Init_Win_bytes_backward,0.008614077420445728
Fwd Packet Length Max,0.008577958623696808
Flow IAT Std,0.007910789628991255
Flow IAT Mean,0.006775952202857629
Fwd Packets/s,0.0067281375175629165
Fwd Packet Length Std,0.0060900564588918255
Bwd IAT Max,0.005644335351232705
Packet Length Std,0.004754781137007085
Flow Bytes/s,0.004565205025258213
URG Flag Count,0.00445847171144926
Max Packet Length,0.004310016703023039
Fwd IAT Max,0.0040806893620806
Fwd IAT Std,0.003970785349660265
Bwd IAT Total,0.003960505196453637
Flow Packets/s,0.0037047448949739385
Packet Length Variance,0.003684233568443392
Subflow Fwd Packets,0.003678345373705064
Fwd IAT Total,0.003463091116030843
Init_Win_bytes_forward,0.003038686299782064
Subflow Bwd Bytes,0.002704594929740393
Flow IAT Min,0.0024967966734060296
Bwd Header Length,0.002378013952086207
Total Length of Bwd Packets,0.002264126805415064
Fwd IAT Mean,0.0022077441502710905
Bwd Packets/s,0.0018994771117268824
Active Max,0.0017387725889106214
Bwd IAT Min,0.0014560408892525642
Min Packet Length,0.0012943328795056682
ACK Flag Count,0.000771244524062233
Bwd IAT Mean,0.0006004210346569278
Fwd Packet Length Min,0.0005782080845104088
Idle Max,0.0005551621157443346
Bwd Packet Length Min,0.0005180753391233243
Total Fwd Packets,0.0004392471870739298
Idle Mean,0.00037887617382696557
Active Mean,0.00028605769230769234
SYN Flag Count,0.00026109373247624427
Down/Up Ratio,0.00018806089631951705
Idle Min,0.00014416611733684978
PSH Flag Count,0.00013531513970110464
min_seg_size_forward,8.548850574712643e-05
Bwd Avg Bulk Rate,0.0
Bwd URG Flags,0.0
Idle Std,0.0
Fwd PSH Flags,0.0
FIN Flag Count,0.0
RST Flag Count,0.0
Active Std,0.0
Bwd Avg Packets/Bulk,0.0
CWE Flag Count,0.0
ECE Flag Count,0.0
Fwd URG Flags,0.0
Fwd Avg Bytes/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd PSH Flags,0.0
