Features,importance
Subflow Fwd Bytes,0.3631292906710135
Flow Bytes/s,0.3129236019928702
Total Length of Fwd Packets,0.3045297134549964
PSH Flag Count,0.007951862868163727
Bwd Packets/s,0.0019643207579016905
Init_Win_bytes_forward,0.0019498587851024059
Idle Min,0.0011497896407858183
Fwd Header Length,0.0009127045376369133
Fwd IAT Mean,0.0008682757051792149
Bwd IAT Min,0.0006678263074710821
Flow Duration,0.0005578030205380581
Average Packet Size,0.0003969308565330599
Fwd Packets/s,0.0003816277639107994
Fwd IAT Total,0.0002848568688830577
Packet Length Mean,0.0002491196921448007
Init_Win_bytes_backward,0.00024387803270867783
Flow IAT Mean,0.0002134476267527321
Bwd IAT Max,0.00017669302130547552
Fwd Packet Length Max,0.00017542003305500182
Flow IAT Max,0.00016577066881877104
Bwd IAT Mean,9.728884674244502e-05
Fwd IAT Min,8.181059899899857e-05
Bwd IAT Total,8.072258975120178e-05
Total Length of Bwd Packets,6.64914995131526e-05
Subflow Bwd Bytes,5.492980638786712e-05
Bwd Packet Length Min,4.937036271115853e-05
Subflow Fwd Packets,4.644381484038903e-05
Flow Packets/s,4.615987524002841e-05
Packet Length Std,4.361790167318686e-05
Packet Length Variance,4.17315144585477e-05
Avg Bwd Segment Size,4.0020554430771875e-05
Max Packet Length,3.948910009077318e-05
Bwd Packet Length Mean,3.878031958155187e-05
Total Fwd Packets,3.798278635204317e-05
Bwd Packet Length Max,3.748031436332477e-05
Bwd Header Length,3.190948596261776e-05
Fwd Packet Length Mean,2.8822008412792167e-05
Avg Fwd Segment Size,2.839264239415969e-05
Fwd IAT Max,2.4577594584267156e-05
min_seg_size_forward,2.2623670918668376e-05
Flow IAT Min,2.0230432863391464e-05
Bwd Packet Length Std,1.9498799704653242e-05
Flow IAT Std,1.554811193498167e-05
Fwd IAT Std,1.5175477249285452e-05
Fwd Packet Length Std,1.2732249149068658e-05
Subflow Bwd Packets,1.0895178727278476e-05
ACK Flag Count,1.033731951164462e-05
Total Backward Packets,9.572037599696537e-06
Idle Mean,6.8013777065350995e-06
Active Mean,6.645279571055632e-06
Active Max,6.429756777140299e-06
Fwd Packet Length Min,5.5051397804698635e-06
Bwd IAT Std,4.468601010903012e-06
Idle Max,4.104431030735763e-06
Active Min,3.912859898675631e-06
Down/Up Ratio,2.5602343152868563e-06
Active Std,2.5593668465016292e-06
SYN Flag Count,2.025350200658194e-06
CWE Flag Count,1.977498449415412e-06
act_data_pkt_fwd,1.7480614169212498e-06
Idle Std,1.5513450838779918e-06
URG Flag Count,1.548974426772253e-06
Fwd URG Flags,1.4126424423538229e-06
Fwd PSH Flags,1.0943574559454169e-06
Min Packet Length,2.275236674790003e-07
Bwd Avg Packets/Bulk,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
RST Flag Count,0.0
FIN Flag Count,0.0
Bwd Avg Bulk Rate,0.0
ECE Flag Count,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
