Features,importance
Init_Win_bytes_backward,0.9833457482162857
Bwd Packets/s,0.001980843856899796
Bwd Header Length,0.0017143680830796065
Fwd Packet Length Max,0.0010631073814860099
min_seg_size_forward,0.0009468514747923242
Init_Win_bytes_forward,0.0009402547560576509
Average Packet Size,0.0007713901723375909
Flow IAT Max,0.0006996415686059507
Fwd Packets/s,0.0005858177037139853
Flow Packets/s,0.0005737112491332481
Flow IAT Mean,0.0005610595635144076
Fwd IAT Min,0.0004202509877193356
Flow Duration,0.0004139373150982949
Fwd Header Length,0.00037694320979205886
Total Length of Fwd Packets,0.0003532634035233426
Flow IAT Std,0.0003376805432992612
Subflow Fwd Bytes,0.00032765640160462847
Fwd IAT Total,0.0003218275986015735
URG Flag Count,0.00031274092470663173
Flow IAT Min,0.0003124956263747368
Fwd IAT Max,0.0002749561314437477
Flow Bytes/s,0.00027046684386017984
Bwd IAT Min,0.0002260505092827047
Fwd IAT Mean,0.00021235291939933316
Subflow Bwd Packets,0.0001894562067543401
Avg Fwd Segment Size,0.00018093186779235377
Fwd Packet Length Mean,0.00017270784744481728
Max Packet Length,0.0001675222572570411
Total Backward Packets,0.0001618308121621191
Fwd Packet Length Std,0.00015014570603644387
Packet Length Variance,0.0001336867422873744
Packet Length Std,0.00012527068514421884
Packet Length Mean,0.00011511205077380106
Bwd Packet Length Max,9.843916402736329e-05
Avg Bwd Segment Size,8.10810201064985e-05
Min Packet Length,7.724024306110809e-05
Bwd IAT Mean,7.055145206180193e-05
Bwd Packet Length Mean,6.842208287355125e-05
Bwd Packet Length Min,6.594779364919118e-05
Subflow Bwd Bytes,5.9537227864870286e-05
Total Length of Bwd Packets,5.719515453804267e-05
Idle Min,5.483727379064847e-05
Bwd Packet Length Std,5.195080755478873e-05
Fwd IAT Std,5.0039149816941405e-05
Idle Mean,4.812770432485933e-05
Active Mean,4.69506046682093e-05
Fwd Packet Length Min,4.561439666483869e-05
Bwd IAT Total,4.492442015567215e-05
Active Max,4.3192815003124256e-05
Bwd IAT Max,4.218331057848465e-05
Subflow Fwd Packets,4.026124728037333e-05
Active Min,3.718856185714143e-05
act_data_pkt_fwd,3.285795029852962e-05
Bwd IAT Std,2.946795549558062e-05
Total Fwd Packets,2.3028123776415346e-05
Fwd PSH Flags,2.2392737606325253e-05
Idle Max,1.7304973634466828e-05
SYN Flag Count,1.7202949183457794e-05
Down/Up Ratio,1.1724176521996247e-05
PSH Flag Count,8.841582437798057e-06
Idle Std,5.2088453892247714e-06
ACK Flag Count,3.7205781151696255e-06
Active Std,2.9740668255496866e-06
Fwd URG Flags,8.635704479898667e-07
FIN Flag Count,6.474441254959097e-07
Bwd URG Flags,0.0
Bwd Avg Packets/Bulk,0.0
Bwd PSH Flags,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
ECE Flag Count,0.0
CWE Flag Count,0.0
RST Flag Count,0.0
Bwd Avg Bulk Rate,0.0
